Name,Manufacturer,Technology,Bifacial,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref,Adjust,gamma_r,BIPV,Version,Date
REC Solar REC210PE Q2,REC Solar,Multi-c-Si,0,210.268,186.1,1.65,1.665,0.991,60,8.2,35.9,7.55,27.85,0.000902,-0.114162,47.9,1.42799,8.23252,9.61E-11,0.51843,130.703,4.51724,-0.457,N,SAM 2021.12.02,11/16/2022
REC Solar REC210PE Q3,REC Solar,Multi-c-Si,0,210.268,186.1,1.65,1.665,0.991,60,8.2,35.9,7.55,27.85,0.000902,-0.114162,47.9,1.42799,8.23252,9.61E-11,0.51843,130.703,4.51724,-0.457,N,SAM 2021.12.02,11/16/2022
Risen Energy Co. Ltd. RSM120-8-605M,Risen Energy Co. Ltd.,Mono-c-Si,0,605.515,568.1,2.8,,,60,18.37,41.8,17.35,34.9,0.0071643,-0.091542,45.1,1.49031,18.3861,1.19E-11,0.127703,145.396,19.9315,-0.324,N,SAM 2021.12.02,11/16/2022
Risen Energy Co. Ltd. RSM120-8-610M,Risen Energy Co. Ltd.,Mono-c-Si,0,610.74,572.9,2.8,,,60,18.42,42,17.4,35.1,0.0071838,-0.09198,45.1,1.498,18.4358,1.21E-11,0.125808,146.808,20.0331,-0.324,N,SAM 2021.12.02,11/16/2022
RSI Holding RSI-6M-270M-60,RSI Holding,Mono-c-Si,0,269.874,244.9,1.61,1.626,0.99,60,9.39,38.3,8.46,31.9,0.00497219,-0.128045,45,1.67561,9.41355,1.04E-09,0.161965,64.5808,18.6979,-0.45395,N,SAM 2021.12.02,11/16/2022
Saatvik Green Energy (P) Limited SGE530-144MBHC,Saatvik Green Energy (P) Limited,Mono-c-Si,0,530.37,491.6,2.56,,,72,13.42,49.8,12.78,41.5,0.0064416,-0.14193,45.5,1.90711,13.421,6.12E-11,0.191633,2487.29,7.5848,-0.371,N,SAM 2021.12.02,11/16/2022
SANYO ELECTRIC CO LTD OF PANASONIC GROUP VBHN340SA17,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,Mono-c-Si,0,340.29,321.3,1.6,,,96,6.13,71.3,5.7,59.7,0.001839,-0.17825,43.8,2.51301,6.14195,2.82E-12,0.635602,326.036,2.26752,-0.31,N,SAM 2021.12.02,11/16/2022
SANYO ELECTRIC CO LTD OF PANASONIC GROUP VBHN345SA17,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,Mono-c-Si,0,346.176,326.2,1.6,,,96,6.18,71.6,5.76,60.1,0.001854,-0.179,43.8,2.52365,6.19064,2.85E-12,0.604295,351.104,2.28516,-0.31,N,SAM 2021.12.02,11/16/2022
SEG Solar Inc. SEG-BPB-255BB,SEG Solar Inc.,Multi-c-Si,0,255.024,232.3,1.64,,,60,8.79,37,8.28,30.8,0.00364785,-0.113516,47.3,1.43814,8.79648,5.82E-11,0.21693,294.16,3.06647,-0.3826,N,SAM 2021.12.02,11/16/2022
SEG Solar Inc. SEG-BPB-260BB,SEG Solar Inc.,Multi-c-Si,0,260.09,237,1.64,,,60,8.96,37.2,8.39,31,0.0037184,-0.11413,47.3,1.45157,8.96975,6.51E-11,0.20842,191.532,3.86615,-0.3826,N,SAM 2021.12.02,11/16/2022
SEG Solar Inc. SEG-BPB-260WB,SEG Solar Inc.,Multi-c-Si,0,260.09,237,1.64,,,60,8.96,37.2,8.39,31,0.00372736,-0.121123,45.8,1.50027,8.96843,1.50E-10,0.195842,208.083,4.61346,-0.4103,N,SAM 2021.12.02,11/16/2022
Solartech Power SPM235P,Solartech Power,Multi-c-Si,0,234.966,210,1.61,1.626,0.99,60,8.45,37.26,7.93,29.63,0.00487565,-0.132348,45.6,1.60973,8.45466,7.44E-10,0.379987,688.52,9.35654,-0.4883,N,SAM 2021.12.02,11/16/2022
Solartech Power SPM240P,Solartech Power,Multi-c-Si,0,239.946,214.6,1.61,1.626,0.99,60,8.57,37.38,8.06,29.77,0.00494489,-0.132774,45.6,1.61433,8.57276,7.51E-10,0.369339,1147.6,9.29775,-0.4883,N,SAM 2021.12.02,11/16/2022
Sonali Energees SS 270,Sonali Energees,Multi-c-Si,0,270,233.2,1.907,1.954,0.976,72,8.05,43.2,7.5,36,0.004508,-0.165888,48.5,2.03794,8.05446,4.92E-09,0.170843,308.568,18.4938,-0.545,N,SAM 2021.12.02,11/16/2022
Sonali Energees SS 280,Sonali Energees,Multi-c-Si,0,280.203,242.1,1.907,1.954,0.976,72,8.15,43.92,7.66,36.58,0.004564,-0.168653,48.5,2.05937,8.15178,4.43E-09,0.178497,819.557,17.3087,-0.545,N,SAM 2021.12.02,11/16/2022
Sonali Energees SS 290,Sonali Energees,Multi-c-Si,0,290.088,251.1,1.907,1.954,0.976,72,8.3,43.92,7.9,36.72,0.004648,-0.168653,48.5,2.05978,8.38392,4.59E-09,0.153702,1400.22,17.373,-0.545,N,SAM 2021.12.02,11/16/2022
Sunny International Power SPM-190PB203,Sunny International Power,Multi-c-Si,0,190.736,171.1,1.455,1.476,0.986,54,7.82,32.8,7.28,26.2,0.00654534,-0.115882,45.7,1.39891,7.83217,5.04E-10,0.349986,224.924,6.93955,-0.442,N,SAM 2021.12.02,11/16/2022
SunPower PL-SUNP-SPR-215,SunPower,Mono-c-Si,0,214.92,198.3,1.244,1.559,0.798,72,5.8,48.3,5.4,39.8,0.0020822,-0.134854,44.7,1.87559,5.81,3.70E-11,0.514452,298.34,13.0949,-0.3904,N,SAM 2021.12.02,11/16/2022
SunPower SPR-225E-BLK-D,SunPower,Mono-c-Si,0,225.09,205,1.244,1.559,0.798,72,5.87,48.5,5.49,41,0.00251823,-0.135655,49.2,1.86986,5.87549,3.11E-11,0.306804,328.135,11.1408,-0.3672,N,SAM 2021.12.02,11/16/2022
SunSpark Technology Inc. SST6L72M(H)-445,SunSpark Technology Inc.,Mono-c-Si,0,445.258,412.6,2.17,,,72,11.47,49.4,10.94,40.7,0.0067673,-0.149188,45.2,1.92806,11.5915,8.56E-11,0.260697,441.738,5.4212,-0.377,N,SAM 2021.12.02,11/16/2022
SunSpark Technology Inc. SST6L72M-445,SunSpark Technology Inc.,Mono-c-Si,0,445.258,412.6,2.17,,,72,11.47,49.4,10.94,40.7,0.0067673,-0.149188,45.2,1.92806,11.5915,8.56E-11,0.260697,441.738,5.4212,-0.377,N,SAM 2021.12.02,11/16/2022
SUNSTYLE AG / LTD SUNSTYLE M75,SUNSTYLE AG / LTD,Mono-c-Si,0,75,68.2,0.72,,,24,6.3,15.6,6,12.5,0.002079,-0.051168,43.3,0.625476,6.3663,9.32E-11,0.209472,403.915,2.81163,-0.438,Y,SAM 2021.12.02,11/16/2022
SUNSTYLE AG / LTD SUNSTYLE M80,SUNSTYLE AG / LTD,Mono-c-Si,0,80.64,72.8,0.72,,,24,6.6,15.7,6.4,12.6,0.002178,-0.051496,43.3,0.630277,6.80496,1.03E-10,0.193756,264.862,3.06623,-0.438,Y,SAM 2021.12.02,11/16/2022
Suntech Power STP170S-24/Ad+,Suntech Power,Mono-c-Si,0,170.016,151.4,1.277,1.58,0.808,72,5.14,43.8,4.83,35.2,0.0021588,-0.160746,45.3,1.89875,5.14242,4.90E-10,0.645032,1369.95,6.67439,-0.499,N,SAM 2021.12.02,11/16/2022
Suntech Power STP170S-24/Adb+,Suntech Power,Mono-c-Si,0,170.016,152.9,1.277,1.58,0.808,72,5.14,43.8,4.83,35.2,0.0022616,-0.141036,46.4,1.77542,5.14438,9.83E-11,0.697228,817.699,6.87941,-0.435,N,SAM 2021.12.02,11/16/2022
Suzhou Talesun Solar Technologies Co. Ltd. TP7F72M(H)-555,Suzhou Talesun Solar Technologies Co. Ltd.,Mono-c-Si,0,554.878,518,2.59,,,72,14.07,50.1,13.18,42.1,0.0071757,-0.139779,44.8,1.9204,14.0841,6.44E-11,0.155199,155.147,9.98544,-0.358,N,SAM 2021.12.02,11/16/2022
Tangshan Haitai New Energy Technology Co. Ltd. HTM430DMH3-72 (1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-c-Si,0,429.872,400.2,1.97,,,72,11.25,48.7,10.72,40.1,0.0055125,-0.130029,46.2,1.80433,11.2507,2.13E-11,0.285527,4899.78,7.00297,-0.349,N,SAM 2021.12.02,11/16/2022
Tangshan Haitai New Energy Technology Co. Ltd. HTM430MH3-72 (1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-c-Si,0,429.872,402.4,1.97,,,72,11.25,48.7,10.72,40.1,0.006075,-0.127594,45.1,1.79579,11.2508,1.88E-11,0.287269,3816.92,7.86156,-0.341,N,SAM 2021.12.02,11/16/2022
Trina Solar TSM-670DEG21C.20,Trina Solar,Mono-c-Si,1,671.055,632.8,3.08,,,66,18.55,46.3,17.43,38.5,0.006307,-0.106953,44.6,1.60651,18.5766,5.53E-12,0.155978,108.82,6.72645,-0.303,N,SAM 2021.12.02,11/16/2022
TSEC TS36-6P2-130,TSEC,Multi-c-Si,0,129.133,115.4,1.023,1.5,0.682,36,7.86,22.07,7.43,17.38,0.0096678,-0.0653272,49.1,0.929494,7.9464,3.84E-10,0.272276,276.976,24.4793,-0.429,N,SAM 2021.12.02,11/16/2022
TSEC TS36-6P3-130A,TSEC,Multi-c-Si,0,129.133,115.4,1.023,1.5,0.682,36,7.86,22.07,7.43,17.38,0.0096678,-0.0653272,49.1,0.929494,7.9464,3.84E-10,0.272276,276.976,24.4793,-0.429,N,SAM 2021.12.02,11/16/2022
Tynsolar TYNS62612315,Tynsolar,Mono-c-Si,0,315.058,281.6,1.951,1.961,0.995,72,8.89,45.22,8.58,36.72,0.00474015,-0.146694,47.9,1.87664,9.06974,3.10E-10,0.346641,3002.85,11.0503,-0.4485,N,SAM 2021.12.02,11/16/2022
U.S. Solar USS-QCMI2-36-130,U.S. Solar,Multi-c-Si,0,129.967,114.7,1.011,1.019,0.992,36,8.42,21.69,7.92,16.41,0.005052,-0.078084,46.7,0.924918,8.51357,5.52E-10,0.343869,312.066,5.23627,-0.5,N,SAM 2021.12.02,11/16/2022
U.S. Solar USS-QCMI2-36-135,U.S. Solar,Multi-c-Si,0,135.022,119.2,1.011,1.019,0.992,36,8.48,21.9,7.98,16.92,0.005088,-0.07884,46.7,0.945722,8.57549,7.44E-10,0.291614,233.642,7.75588,-0.5,N,SAM 2021.12.02,11/16/2022
