Name,Manufacturer,Technology,Bifacial,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref,Adjust,gamma_r,BIPV,Version,Date
Anji Technology AJP-M660-245,Anji Technology,Multi-c-Si,0,244.87,217.9,1.624,1.632,0.995,60,8.43,37.08,7.94,30.84,0.0081771,-0.133117,46.4,1.7018,8.43154,2.89E-09,0.161328,884.044,20.4483,-0.493,N,SAM 2021.12.02,11/16/2022
Anji Technology AJP-M660-250,Anji Technology,Multi-c-Si,0,250.054,222.4,1.624,1.632,0.995,60,8.5,37.32,8.03,31.14,0.008245,-0.133979,46.4,1.71293,8.50046,2.93E-09,0.147091,2699.27,20.4849,-0.493,N,SAM 2021.12.02,11/16/2022
APOS Energy AP130,APOS Energy,Multi-c-Si,0,129.133,115.4,1.023,1.5,0.682,36,7.86,22.07,7.43,17.38,0.0096678,-0.0653272,49.1,0.929494,7.9464,3.84E-10,0.272276,276.976,24.4793,-0.429,N,SAM 2021.12.02,11/16/2022
APOS Energy AP135,APOS Energy,Multi-c-Si,0,132.553,119.9,1.023,1.5,0.682,36,7.94,22.21,7.54,17.58,0.0097662,-0.0657416,49.1,0.935775,8.02293,3.93E-10,0.256967,583.032,24.6143,-0.429,N,SAM 2021.12.02,11/16/2022
APOS Energy AS135,APOS Energy,Mono-c-Si,0,135.267,120.9,1.023,1.5,0.682,36,8.34,22.19,7.69,17.59,0.0071724,-0.0639072,47.8,0.917431,8.36526,2.54E-10,0.250533,82.7206,23.7101,-0.425,N,SAM 2021.12.02,11/16/2022
APOS Energy AP140,APOS Energy,Multi-c-Si,0,137.882,124.5,1.023,1.5,0.682,36,8.05,22.39,7.69,17.93,0.0099015,-0.0662744,49.1,0.9507,8.21949,4.81E-10,0.221295,236.515,26.4655,-0.429,N,SAM 2021.12.02,11/16/2022
APOS Energy AS140,APOS Energy,Mono-c-Si,0,139.238,125.4,1.023,1.5,0.682,36,8.51,22.33,7.84,17.76,0.0073186,-0.0643104,47.8,0.925382,8.53595,2.73E-10,0.238169,78.1022,24.2698,-0.425,N,SAM 2021.12.02,11/16/2022
APOS Energy AS145,APOS Energy,Mono-c-Si,0,143.339,130,1.023,1.5,0.682,36,8.63,22.51,7.95,18.03,0.0074218,-0.0648288,47.8,0.936569,8.65476,3.05E-10,0.217872,75.9372,25.2378,-0.425,N,SAM 2021.12.02,11/16/2022
APOS Energy AP175,APOS Energy,Multi-c-Si,0,174.359,155.4,1.341,1.341,1,48,7.9,29.52,7.48,23.31,0.009717,-0.0873792,49.1,1.24405,7.98528,3.92E-10,0.352248,447.466,24.6453,-0.429,N,SAM 2021.12.02,11/16/2022
APOS Energy AP180,APOS Energy,Multi-c-Si,0,178.972,160,1.341,1.341,1,48,7.97,29.72,7.59,23.58,0.0098031,-0.0879712,49.1,1.25195,8.05069,3.94E-10,0.33381,2701.77,24.5891,-0.429,N,SAM 2021.12.02,11/16/2022
